,images,target
24,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-647.png,ViralPneumonia
25,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1178.png,ViralPneumonia
26,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-566.png,ViralPneumonia
27,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-880.png,ViralPneumonia
28,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-744.png,ViralPneumonia
29,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1316.png,ViralPneumonia
30,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1121.png,ViralPneumonia
31,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-102.png,ViralPneumonia
32,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-301.png,ViralPneumonia
33,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-482.png,ViralPneumonia
34,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-844.png,ViralPneumonia
35,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-451.png,ViralPneumonia
36,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-997.png,ViralPneumonia
37,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-709.png,ViralPneumonia
38,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1113.png,ViralPneumonia
39,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-325.png,ViralPneumonia
40,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-205.png,ViralPneumonia
41,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1275.png,ViralPneumonia
42,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-923.png,ViralPneumonia
43,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-353.png,ViralPneumonia
44,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-116.png,ViralPneumonia
45,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-723.png,ViralPneumonia
46,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-488.png,ViralPneumonia
47,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-548.png,ViralPneumonia
48,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-173.png,ViralPneumonia
49,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-238.png,ViralPneumonia
50,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-600.png,ViralPneumonia
51,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-355.png,ViralPneumonia
52,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-62.png,ViralPneumonia
53,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-545.png,ViralPneumonia
54,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1084.png,ViralPneumonia
55,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-520.png,ViralPneumonia
56,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1097.png,ViralPneumonia
57,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1215.png,ViralPneumonia
58,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-280.png,ViralPneumonia
59,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-790.png,ViralPneumonia
60,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-625.png,ViralPneumonia
61,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-705.png,ViralPneumonia
62,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-16.png,ViralPneumonia
63,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1030.png,ViralPneumonia
64,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-614.png,ViralPneumonia
65,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1343.png,ViralPneumonia
66,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-46.png,ViralPneumonia
67,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-36.png,ViralPneumonia
68,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-422.png,ViralPneumonia
69,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-32.png,ViralPneumonia
70,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1302.png,ViralPneumonia
71,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-382.png,ViralPneumonia
72,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-446.png,ViralPneumonia
73,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-234.png,ViralPneumonia
74,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-388.png,ViralPneumonia
75,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-126.png,ViralPneumonia
76,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-757.png,ViralPneumonia
77,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-821.png,ViralPneumonia
78,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-850.png,ViralPneumonia
79,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1322.png,ViralPneumonia
80,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-185.png,ViralPneumonia
81,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-39.png,ViralPneumonia
82,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-307.png,ViralPneumonia
83,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-164.png,ViralPneumonia
84,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-924.png,ViralPneumonia
85,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-119.png,ViralPneumonia
86,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-575.png,ViralPneumonia
87,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-149.png,ViralPneumonia
88,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1256.png,ViralPneumonia
89,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1021.png,ViralPneumonia
90,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-110.png,ViralPneumonia
91,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-295.png,ViralPneumonia
92,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-90.png,ViralPneumonia
93,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-284.png,ViralPneumonia
94,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-618.png,ViralPneumonia
95,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-4.png,ViralPneumonia
96,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-222.png,ViralPneumonia
97,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-128.png,ViralPneumonia
98,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-636.png,ViralPneumonia
99,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-751.png,ViralPneumonia
100,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1027.png,ViralPneumonia
101,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-785.png,ViralPneumonia
102,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-161.png,ViralPneumonia
103,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-713.png,ViralPneumonia
104,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1111.png,ViralPneumonia
105,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-435.png,ViralPneumonia
106,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1130.png,ViralPneumonia
107,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-784.png,ViralPneumonia
108,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-286.png,ViralPneumonia
109,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1266.png,ViralPneumonia
110,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-685.png,ViralPneumonia
111,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-310.png,ViralPneumonia
112,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-601.png,ViralPneumonia
113,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-170.png,ViralPneumonia
114,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-47.png,ViralPneumonia
115,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-314.png,ViralPneumonia
116,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-216.png,ViralPneumonia
117,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-836.png,ViralPneumonia
118,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-456.png,ViralPneumonia
119,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1278.png,ViralPneumonia
120,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-94.png,ViralPneumonia
121,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-914.png,ViralPneumonia
122,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-21.png,ViralPneumonia
123,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-764.png,ViralPneumonia
124,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1197.png,ViralPneumonia
125,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-113.png,ViralPneumonia
126,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1321.png,ViralPneumonia
127,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-232.png,ViralPneumonia
128,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-563.png,ViralPneumonia
129,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-995.png,ViralPneumonia
130,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1227.png,ViralPneumonia
131,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1198.png,ViralPneumonia
132,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1000.png,ViralPneumonia
133,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-808.png,ViralPneumonia
134,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-830.png,ViralPneumonia
135,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1298.png,ViralPneumonia
136,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-389.png,ViralPneumonia
137,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-998.png,ViralPneumonia
138,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-390.png,ViralPneumonia
139,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-154.png,ViralPneumonia
140,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-335.png,ViralPneumonia
141,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-643.png,ViralPneumonia
142,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1242.png,ViralPneumonia
143,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1002.png,ViralPneumonia
144,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1201.png,ViralPneumonia
145,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-214.png,ViralPneumonia
146,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-629.png,ViralPneumonia
147,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-986.png,ViralPneumonia
148,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-302.png,ViralPneumonia
149,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1050.png,ViralPneumonia
150,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-602.png,ViralPneumonia
151,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1134.png,ViralPneumonia
152,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1094.png,ViralPneumonia
153,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-354.png,ViralPneumonia
154,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-783.png,ViralPneumonia
155,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-725.png,ViralPneumonia
156,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-525.png,ViralPneumonia
157,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-833.png,ViralPneumonia
158,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-578.png,ViralPneumonia
159,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-552.png,ViralPneumonia
160,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-517.png,ViralPneumonia
161,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-290.png,ViralPneumonia
162,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-60.png,ViralPneumonia
163,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-904.png,ViralPneumonia
164,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-803.png,ViralPneumonia
165,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-972.png,ViralPneumonia
166,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-805.png,ViralPneumonia
167,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-565.png,ViralPneumonia
168,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-8.png,ViralPneumonia
169,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1330.png,ViralPneumonia
170,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1342.png,ViralPneumonia
171,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1147.png,ViralPneumonia
172,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-114.png,ViralPneumonia
173,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-897.png,ViralPneumonia
174,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-849.png,ViralPneumonia
175,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-20.png,ViralPneumonia
176,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-64.png,ViralPneumonia
177,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-412.png,ViralPneumonia
178,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1109.png,ViralPneumonia
179,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-538.png,ViralPneumonia
180,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-322.png,ViralPneumonia
181,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-627.png,ViralPneumonia
182,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-679.png,ViralPneumonia
183,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-471.png,ViralPneumonia
184,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-714.png,ViralPneumonia
185,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-954.png,ViralPneumonia
186,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-432.png,ViralPneumonia
187,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-719.png,ViralPneumonia
188,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1246.png,ViralPneumonia
189,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-588.png,ViralPneumonia
190,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-276.png,ViralPneumonia
191,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1099.png,ViralPneumonia
192,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-816.png,ViralPneumonia
193,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-558.png,ViralPneumonia
194,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1086.png,ViralPneumonia
195,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-533.png,ViralPneumonia
196,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-29.png,ViralPneumonia
197,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1098.png,ViralPneumonia
198,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-194.png,ViralPneumonia
199,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-867.png,ViralPneumonia
200,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1295.png,ViralPneumonia
201,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-72.png,ViralPneumonia
202,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1160.png,ViralPneumonia
203,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-616.png,ViralPneumonia
204,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-436.png,ViralPneumonia
205,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-875.png,ViralPneumonia
206,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-155.png,ViralPneumonia
207,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-963.png,ViralPneumonia
208,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-536.png,ViralPneumonia
209,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-162.png,ViralPneumonia
210,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1065.png,ViralPneumonia
211,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-108.png,ViralPneumonia
212,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-886.png,ViralPneumonia
213,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-371.png,ViralPneumonia
214,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-70.png,ViralPneumonia
215,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-856.png,ViralPneumonia
216,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-350.png,ViralPneumonia
217,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-261.png,ViralPneumonia
218,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-562.png,ViralPneumonia
219,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-220.png,ViralPneumonia
220,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-79.png,ViralPneumonia
221,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-459.png,ViralPneumonia
222,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-501.png,ViralPneumonia
223,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-792.png,ViralPneumonia
224,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1049.png,ViralPneumonia
225,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-298.png,ViralPneumonia
226,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-676.png,ViralPneumonia
227,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-653.png,ViralPneumonia
228,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-131.png,ViralPneumonia
229,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1291.png,ViralPneumonia
230,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-259.png,ViralPneumonia
231,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1127.png,ViralPneumonia
232,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-480.png,ViralPneumonia
233,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-756.png,ViralPneumonia
234,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-583.png,ViralPneumonia
235,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-789.png,ViralPneumonia
236,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-611.png,ViralPneumonia
237,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-811.png,ViralPneumonia
238,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1066.png,ViralPneumonia
239,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1150.png,ViralPneumonia
240,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-769.png,ViralPneumonia
241,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-686.png,ViralPneumonia
242,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1093.png,ViralPneumonia
243,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1095.png,ViralPneumonia
244,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-273.png,ViralPneumonia
245,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-265.png,ViralPneumonia
246,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-554.png,ViralPneumonia
247,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-615.png,ViralPneumonia
248,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1199.png,ViralPneumonia
249,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-703.png,ViralPneumonia
250,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-860.png,ViralPneumonia
251,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-842.png,ViralPneumonia
252,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-156.png,ViralPneumonia
253,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-761.png,ViralPneumonia
254,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-718.png,ViralPneumonia
255,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-1233.png,ViralPneumonia
256,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-144.png,ViralPneumonia
257,./COVID-19_Radiography_Dataset/Viral Pneumonia/images/Viral Pneumonia-321.png,ViralPneumonia
